成果名称            成果类型            时间                作者                单位                支撑基金            
大量批量测试17      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试170     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试171     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试172     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试173     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试174     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试175     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试176     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试177     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试178     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试179     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试18      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试180     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试181     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试182     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试183     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试184     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试185     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试186     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试187     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试188     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试189     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试19      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试190     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试191     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试192     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试193     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试194     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试195     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试196     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试197     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试198     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试199     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试2       大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试20      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试200     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试201     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试202     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试203     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试204     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试205     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试206     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试207     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试208     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试209     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试21      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试210     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试211     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试212     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试213     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试214     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试215     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试216     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试217     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试218     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试219     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试22      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试220     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试221     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试222     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试223     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试224     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试225     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试226     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试227     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试228     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试229     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试23      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试230     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试231     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试232     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试233     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试234     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试235     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试236     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试237     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试238     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试239     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试24      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试240     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试241     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试242     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试243     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试244     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试245     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试246     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试247     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试248     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试249     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试25      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试250     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试251     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试252     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试253     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试254     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试255     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试256     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试257     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试258     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试259     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试26      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试260     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试261     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试262     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试263     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试264     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试265     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试266     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试267     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试268     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试269     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试27      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试270     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试271     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试272     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试273     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试274     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试275     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试276     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试277     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试278     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试279     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试28      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试280     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试281     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试282     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试283     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试284     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试285     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试286     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试287     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试288     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试289     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试29      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试290     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试291     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试292     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试293     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试294     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试295     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试296     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试297     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试298     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试299     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试3       大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试30      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试300     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试301     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试302     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试303     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试304     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试305     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试306     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试307     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试308     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试309     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试31      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试310     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试311     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试312     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试313     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试314     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试315     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试316     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试317     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试318     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试319     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试32      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试320     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试321     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试322     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试323     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试324     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试325     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试326     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试327     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试328     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试329     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试33      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试330     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试331     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试332     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试333     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试334     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试335     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试336     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试337     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试338     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试339     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试34      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试340     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试341     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试342     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试343     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试344     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试345     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试346     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试347     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试348     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试349     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试35      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试350     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试351     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试352     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试353     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试354     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试355     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试356     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试357     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试358     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试359     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试36      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试360     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试361     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试362     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试363     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试364     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试365     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试366     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试367     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试368     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试369     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试37      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试370     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试371     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试372     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试373     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试374     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试375     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试376     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试377     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试378     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试379     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试38      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试380     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试381     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试382     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试383     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试384     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试385     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试386     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试387     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试388     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试389     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试39      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试390     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试391     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试392     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试393     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试394     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试395     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试396     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试397     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试398     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试399     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试4       大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试40      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试400     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试401     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试402     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试403     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试404     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试405     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试406     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试407     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试408     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试409     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试41      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试410     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试411     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试412     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试413     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试414     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试415     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试416     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试417     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试418     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试419     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试42      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试420     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试421     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试422     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试423     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试424     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试425     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试426     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试427     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试428     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试429     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试43      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试430     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试431     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试432     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试433     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试434     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试435     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试436     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试437     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试438     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试439     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试44      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试440     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试441     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试442     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试443     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试444     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试445     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试446     大量测试类型        2016-01-01          大量作者            大量公司            100000              
